nombre|stock|precio|marca|link|hora|fecha
Detergente Lavavajillas DIA Cremoso con Aloe Vera 750 Ml.|43|99.00|DIA|https://diaonline.supermercadosdia.com.ar/detergente-lavavajillas-dia-cremoso-con-aloe-vera-750-ml-32829/p|01:24:56|2022-03-20
Detergente Lavavajilla DIA Limón 750 Ml.|40|99.00|DIA|https://diaonline.supermercadosdia.com.ar/detergente-lavavajilla-dia-limon-750-ml-32828/p|01:24:56|2022-03-20
Lustramuebles DIA Siliconado con Cera de Abejas 360 Ml.|28|193.00|DIA|https://diaonline.supermercadosdia.com.ar/lustramuebles-dia-siliconado-con-cera-de-abejas-360-ml-30148/p|01:24:56|2022-03-20
Limpiador Líquido DIA Marina 900 Ml.|42|83.00|DIA|https://diaonline.supermercadosdia.com.ar/limpiador-liquido-dia-marina-900-ml-24353/p|01:24:56|2022-03-20
Limpiador Líquido DIA Lavanda 900 Ml.|31|83.00|DIA|https://diaonline.supermercadosdia.com.ar/limpiador-liquido-dia-lavanda-900-ml-24352/p|01:24:56|2022-03-20
Limpiador Líquido DIA Pino 900 Ml.|11|83.00|DIA|https://diaonline.supermercadosdia.com.ar/limpiador-liquido-dia-pino-900-ml-24351/p|01:24:56|2022-03-20
Servilletas DIA 70 Ud.|175|99.00|DIA|https://diaonline.supermercadosdia.com.ar/servilletas-dia-70-ud-16946/p|01:24:56|2022-03-20
Esponja Virulana|51|64.30|VIRULANA|https://diaonline.supermercadosdia.com.ar/esponja-virulana-14295/p|01:24:56|2022-03-20
Suavizante para Ropa Querubin Premium Doypack 900 Ml.|21|220.00|QUERUBIN|https://diaonline.supermercadosdia.com.ar/suavizante-para-ropa-querubin-premium-doypack-900-ml-8995/p|01:24:56|2022-03-20
Papel Higiénico Elite Hoja Simple 30 Mts. 6 rollos|14|279.00|ELITE|https://diaonline.supermercadosdia.com.ar/papel-higienico-elite-hoja-simple-30-mts-6-rollos-280239/p|01:24:56|2022-03-20
Insecticida Raid Max Mata Cucarachas y Arañas sin olor 360 Ml.|14|408.00|RAID|https://diaonline.supermercadosdia.com.ar/insecticida-raid-max-mata-cucarachas-y-aranas-sin-olor-360-ml-279883/p|01:24:56|2022-03-20
Servilletas Sussex Familiar 30x30 Cm. 140 Un.|30|255.47|SUSSEX|https://diaonline.supermercadosdia.com.ar/servilletas-sussex-familiar-30x30-cm-140-un-278897/p|01:24:56|2022-03-20
Lavandina Ayudín Anti-Splash Tradicional 2 Lts.|10|201.00|AYUDIN|https://diaonline.supermercadosdia.com.ar/lavandina-ayudin-anti-splash-tradicional-2-lts-278330/p|01:24:56|2022-03-20
Limpiador Desinfectante de Pisos Poett Lavanda 4 Lts.|1|494.00|POETT|https://diaonline.supermercadosdia.com.ar/limpiador-desinfectante-de-pisos-poett-lavanda-4-lts-278319/p|01:24:56|2022-03-20
Jabón Líquido Ariel Expert+ Pouch 800 Ml.|29|349.00|ARIEL|https://diaonline.supermercadosdia.com.ar/jabon-liquido-ariel-expert-pouch-800-ml-278092/p|01:24:56|2022-03-20
Jabón Líquido Ace Limpieza Completa Pouch 3 Lts.|4|934.00|ACE|https://diaonline.supermercadosdia.com.ar/jabon-liquido-ace-limpieza-completa-pouch-3-lts-278034/p|01:24:56|2022-03-20
Limpiador de Hinodoro Pato Remueve Sarro 500 Ml.|13|291.00|PATO|https://diaonline.supermercadosdia.com.ar/limpiador-de-hinodoro-pato-remueve-sarro-500-ml-277846/p|01:24:56|2022-03-20
