nombre|stock|precio|marca|link|hora|fecha
Helado DIA Frutilla, Chocolate y Americana 3 Lts.|7|799.00|DIA|https://diaonline.supermercadosdia.com.ar/helado-dia-frutilla-chocolate-y-americana-3-lts-30080/p|01:24:48|2022-03-20
Helado DIA de Frutilla, Vainilla y Dulce de Leche 3 Lts.|4|799.00|DIA|https://diaonline.supermercadosdia.com.ar/helado-dia-de-frutilla-vainilla-y-dulce-de-leche-3-lts-30079/p|01:24:48|2022-03-20
Helado DIA de Frutilla, Chocolate y Americana 1 Lt.|73|379.00|DIA|https://diaonline.supermercadosdia.com.ar/helado-dia-de-frutilla-chocolate-y-americana-1-lt-30077/p|01:24:48|2022-03-20
Volcán de Dulce de Leche Congelado Fuddy 200 Gr.|11|364.00|DIA|https://diaonline.supermercadosdia.com.ar/volcan-de-dulce-de-leche-congelado-fuddy-200-gr-269051/p|01:24:48|2022-03-20
Helado Delicious Limón 500 Gr.|15|549.00|DIA|https://diaonline.supermercadosdia.com.ar/helado-delicious-limon-500-gr-265385/p|01:24:48|2022-03-20
Helado Delicious Tramontana 500 Gr.|17|599.00|DIA|https://diaonline.supermercadosdia.com.ar/helado-delicious-tramontana-500-gr-265378/p|01:24:48|2022-03-20
Helado Delicious Banana Split 500 Gr.|14|599.00|DIA|https://diaonline.supermercadosdia.com.ar/helado-delicious-banana-split-500-gr-265366/p|01:24:48|2022-03-20
Helado Freddo Banana Split 375 Gr.|18|375.00|FREDDO|https://diaonline.supermercadosdia.com.ar/helado-freddo-banana-split-375-gr-265360/p|01:24:48|2022-03-20
Helado Freddo Chocolate Doble Tentación 90 Gr.|62|629.00|FREDDO|https://diaonline.supermercadosdia.com.ar/helado-freddo-chocolate-doble-tentacion-90-gr-265359/p|01:24:48|2022-03-20
Bocaditos Helados Chomp Crema Toffee 160 Gr.|23|599.00|CHOMP|https://diaonline.supermercadosdia.com.ar/bocaditos-helados-chomp-crema-toffee-160-gr-84808/p|01:24:48|2022-03-20
Combo Eslabon de Lujo Cocina y Purificador|34|66.999.00|WHIRLPOOL       | VENDIDO POR: Whirlrpool|https://diaonline.supermercadosdia.com.ar/combo-eslabon-de-lujo-cocina-y-purificador-719844/p|01:24:48|2022-03-20
Helado Freddo clásico dulce de leche 375 Gr.|3|375.00|FREDDO|https://diaonline.supermercadosdia.com.ar/helado-freddo-clasico-dulce-de-leche-375-gr-267598/p|01:24:48|2022-03-20
Helado La Montevideana Limón pote 500 Gr.|1|376.00|LA MONTEVIDEANA|https://diaonline.supermercadosdia.com.ar/helado-la-montevideana-limon-pote-500-gr-267446/p|01:24:48|2022-03-20
Suprema de Pollo DIA rellena de Jamón y Queso 400 Gr.|12|220.58|DIA|https://diaonline.supermercadosdia.com.ar/suprema-de-pollo-dia-rellena-de-jamon-y-queso-400-gr-215981/p|01:24:48|2022-03-20
Bolsa de Hielo Milenium 4 Kg.|36|199.00|MILENIUM|https://diaonline.supermercadosdia.com.ar/bolsa-de-hielo-milenium-4-kg-170617/p|01:24:48|2022-03-20
